,0
722,SOWAHA
723,ANKRD44
724,ANKRD45
725,ANKRD46
726,ANKRD49
727,ANKRD50
728,ANKRD52
729,ANKRD53
730,ANKRD54
731,ANKRD55
732,SOWAHB
733,SOWAHC
734,SOWAHD
735,ANKEF1
736,ANKRD6
737,ANKRD7
738,ANKRD9
739,ANKS1A
740,ANKS1B
741,ANKS3
742,ANKS4B
743,ANKS6
744,ANKZF1
745,ANLN
746,ANO10
747,ANO1
748,ANO2
749,ANO3
750,ANO4
751,ANO5
752,ANO6
753,ANO7
754,ANO8
755,ANO9
756,ANP32A
757,ANP32B
758,ANP32C
759,ANP32D
760,ANP32E
761,ANPEP
762,ANTXR1
763,ANTXR2
764,ANTXRL
765,ZFAND4
766,ANXA10
767,ANXA11
768,ANXA13
769,ANXA1
770,ANXA2P1
771,ANXA2P2
772,ANXA2P3
773,ANXA2
774,ANXA3
775,ANXA4
776,ANXA5
777,ANXA6
778,ANXA7
779,ANXA8L1
780,ANXA8L1
781,ANXA8
782,ANXA9
783,AOAH
784,AOC2
785,AOC3
786,AOX1
787,AOX2P
788,AP1AR
789,AP1B1
790,AP1G1
791,AP1G2
792,AP1M1
793,AP1M2
794,AP1S1
795,AP1S2
796,AP1S3
797,AP2A1
798,AP2A2
799,AP2B1
800,AP2M1
801,AP2S1
802,AP3B1
803,AP3B2
804,AP3D1
805,AP3M1
806,AP3M2
807,AP3S1
808,AP3S2
809,AP4B1
810,AP4E1
811,AP4M1
812,AP4S1
813,APAF1
814,APBA1
815,APBA2
816,APBA3
817,APBB1IP
818,APBB1
819,APBB2
820,APBB3
821,APC2
822,APCDD1L
823,APCDD1
824,APCS
825,APC
826,APEH
827,APEX1
828,APEX2
829,APH1A
830,APH1B
831,API5
832,APIP
833,CENPS
834,APLF
835,APLNR
836,APLN
837,APLP1
838,APLP2
839,NAXE
840,APOA1
841,APOA2
842,APOA4
843,APOA5
844,APOBR
845,APOBEC1
846,APOBEC2
847,APOBEC3A
848,APOBEC3B
849,APOBEC3C
850,APOBEC3D
851,APOBEC3F
852,APOBEC3G
853,APOBEC3H
854,APOBEC4
855,APOB
856,APOC1P1
857,APOC1
858,APOC2
859,APOC3
860,APOC4
861,APOD
862,APOE
863,APOF
864,APOH
865,APOL1
866,APOL2
867,APOL3
868,APOL4
869,APOL5
870,APOL6
871,APOLD1
872,APOM
873,APOOL
874,APOO
875,APPBP2
876,APPL1
877,APPL2
878,APP
879,APRT
880,APTX
881,AQP10
882,AQP11
883,AQP12A
884,AQP12B
885,AQP1
886,AQP2
887,AQP3
888,AQP4
889,AQP5
890,AQP6
891,AQP7P1
892,AQP7P3
893,AQP7
894,AQP8
895,AQP9
896,LVRN
897,AQR
898,ARAF
899,ARAP1
900,ARAP2
901,ARAP3
902,ARCN1
903,ARC
904,AREG
905,ARF1
906,ARF3
907,ARF4
908,ARF5
909,ARF6
910,ARFGAP1
911,ARFGAP2
912,ARFGAP3
913,ARFGEF1
914,ARFGEF2
915,ARFIP1
916,ARFIP2
917,ARFRP1
918,ARG1
919,ARG2
920,ARGFXP2
921,ARGFX
922,ARGLU1
923,ARHGAP10
924,ARHGAP11A
925,ARHGAP11B
926,ARHGAP12
927,ARHGAP15
928,ARHGAP17
929,ARHGAP18
930,ARHGAP19
931,ARHGAP1
932,ARHGAP20
933,ARHGAP21
934,ARHGAP22
935,ARHGAP23
936,ARHGAP24
937,ARHGAP25
938,ARHGAP26
939,ARHGAP27
940,ARHGAP28
941,ARHGAP29
942,ARHGAP30
943,ARHGAP31
944,ARHGAP32
945,ARHGAP33
946,ARHGAP36
947,ARHGAP39
948,ARHGAP42
949,ARHGAP4
950,ARHGAP5
951,ARHGAP6
952,ARHGAP8
953,ARHGAP9
954,ARHGDIA
955,ARHGDIB
956,ARHGDIG
957,ARHGEF10L
958,ARHGEF10
959,ARHGEF11
960,ARHGEF12
961,ARHGEF15
962,ARHGEF16
963,ARHGEF17
964,ARHGEF18
965,ARHGEF19
966,ARHGEF1
967,ARHGEF2
968,ARHGEF33
969,ARHGEF35
970,ARHGEF37
971,ARHGEF38
972,ARHGEF3
973,ARHGEF4
974,ARHGEF5
975,ARHGEF6
976,ARHGEF7
977,ARHGEF9
978,ARID1A
979,ARID1B
980,ARID2
981,ARID3A
982,ARID3B
983,ARID3C
984,ARID4A
985,ARID4B
986,ARID5A
987,ARID5B
988,ARIH1
989,ARIH2
990,ARL10
991,ARL11
992,ARL13A
993,ARL13B
994,ARL14
995,ARL15
996,ARL16
997,ARL17A
998,ARL17B
999,ARL1
1000,ARL2BP
1001,ARL2
1002,ARL3
1003,ARL4A
1004,ARL4C
1005,ARL4D
1006,ARL5A
1007,ARL5B
1008,ARL5C
1009,ARL6IP1
1010,ARL6IP4
1011,ARL6IP5
1012,ARL6IP6
1013,ARL6
1014,ARL8A
1015,ARL8B
1016,ARL9
1017,ARMC10
1018,ARMC1
1019,ARMC2
1020,ARMC3
1021,ARMC4
1022,ARMC5
1023,ARMC6
1024,ARMC7
1025,ARMC8
1026,ARMC9
1027,ARMCX1
1028,ARMCX2
1029,ARMCX3
1030,ARMCX5
1031,ARMCX6
1032,ARMS2
1033,ARNT2
1034,ARNTL2
1035,ARNTL
1036,ARNT
1037,ARPC1A
1038,ARPC1B
1039,ARPC2
1040,ARPC3
1041,ARPC4
1042,ARPC5L
1043,ARPC5
1044,ACTRT3
1045,ARPP19
1046,ARPP21
1047,ARR3
1048,ARRB1
1049,ARRB2
1050,ARRDC1
1051,ARRDC2
1052,ARRDC3
1053,ARRDC4
1054,ARRDC5
1055,ARSA
1056,ARSB
1057,ARSD
1058,ARSE
1059,ARSF
1060,ARSG
1061,ARSH
1062,ARSI
1063,ARSJ
1064,ARSK
1065,ART1
1066,ART3
1067,ART4
1068,ART5
1069,ARTN
1070,ARV1
1071,ARVCF
1072,ARX
1073,AR
1074,AS3MT
1075,ASAH1
1076,ASAH2B
1077,ASAH2
1078,CLMP
1079,ASAP1IT1
1080,ASAP1
1081,ASAP2
1082,ASAP3
1083,ASB10
1084,ASB11
1085,ASB12
1086,ASB13
1087,ASB14
1088,ASB15
1089,ASB16
1090,ASB17
1091,ASB18
1092,ASB1
1093,ASB2
1094,ASB3
1095,ASB4
1096,ASB5
1097,ASB6
1098,ASB7
1099,ASB8
1100,ASB9
1101,ASCC1
1102,ASCC2
1103,ASCC3
1104,ASCL1
1105,ASCL2
1106,ASCL3
1107,ASCL4
1108,ASF1A
1109,ASF1B
1110,FMR1-AS1
1111,ASGR1
1112,ASGR2
1113,ASH1L
1114,ASH2L
1115,ASIP
1116,ASL
1117,ASMTL
1118,ASMT
1119,ASNA1
1120,ASNSD1
1121,ASNS
1122,ASPA
1123,ASPDH
1124,ASPG
1125,ASPHD1
1126,ASPHD2
1127,ASPH
1128,ASPM
1129,ASPN
1130,ASPRV1
1131,ASPSCR1
1132,ASRGL1
1133,ASS1
1134,ASTE1
1135,ASTL
1136,ASTN1
1137,ASTN2
1138,ASXL1
1139,ASXL2
1140,ASXL3
1141,ASZ1
1142,ATAD1
1143,ATAD2B
1144,ATAD2
1145,ATAD3A
1146,ATAD3B
1147,ATAD3C
1148,ATAD5
1149,ATCAY
1150,ATE1
1151,ATF1
1152,ATF2
1153,ATF3
1154,ATF4
1155,ATF5
1156,ATF6B
1157,ATF6
1158,ATF7IP2
1159,ATF7IP
1160,ATF7
1161,ATG10
1162,ATG12
1163,ATG16L1
1164,ATG16L2
1165,ATG2A
1166,ATG2B
1167,ATG3
1168,ATG4A
1169,ATG4B
1170,ATG4C
1171,ATG4D
1172,ATG5
1173,ATG7
1174,ATG9A
1175,ATG9B
1176,PGGHG
1177,ATIC
1178,ATL1
1179,ATL2
1180,ATL3
1181,ATMIN
1182,ATM
1183,ATN1
1184,ATOH1
1185,ATOH7
1186,ATOH8
1187,ATOX1
1188,ATP10A
1189,ATP10B
1190,ATP10D
1191,ATP11A
1192,ATP11B
1193,ATP11C
1194,ATP12A
1195,ATP13A1
1196,ATP13A2
1197,ATP13A3
1198,ATP13A4
1199,ATP13A5
1200,ATP1A1
1201,ATP1A2
1202,ATP1A3
1203,ATP1A4
1204,ATP1B1
1205,ATP1B2
1206,ATP1B3
1207,ATP1B4
1208,ATP2A1
1209,ATP2A2
1210,ATP2A3
1211,ATP2B1
1212,ATP2B2
1213,ATP2B3
1214,ATP2B4
1215,ATP2C1
1216,ATP2C2
1217,ATP4A
1218,ATP4B
1219,ATP5F1A
1220,ATP5F1B
1221,ATP5F1C
1222,ATP5F1D
1223,ATP5F1EP2
1224,ATP5F1E
1225,ATP5PB
1226,ATP5MC1
1227,ATP5MC2
1228,ATP5MC3
1229,ATP5PD
1230,ATP5ME
1231,ATP5MF
1232,ATP5PF
1233,ATP5MGL
1234,ATP5MG
1235,ATP5PO
1236,DMAC2
1237,ATP5S
1238,ATP6AP1L
1239,ATP6AP1
1240,ATP6AP2
1241,ATP6V0A1
1242,ATP6V0A2
1243,ATP6V0A4
1244,ATP6V0B
1245,ATP6V0C
1246,ATP6V0D1
1247,ATP6V0D2
1248,ATP6V0E1
1249,ATP6V0E2
1250,ATP6V1A
1251,ATP6V1B1
1252,ATP6V1B2
1253,ATP6V1C1
1254,ATP6V1C2
1255,ATP6V1D
1256,ATP6V1E1
1257,ATP6V1E2
1258,ATP6V1F
1259,ATP6V1G1
1260,ATP6V1G2
1261,ATP6V1G3
1262,ATP6V1H
1263,ATP7A
1264,ATP7B
1265,ATP8A1
1266,ATP8A2
1267,ATP8B1
1268,ATP8B2
1269,ATP8B3
1270,ATP8B4
1271,ATP8B5P
1272,ATP9A
1273,ATP9B
1274,ATPAF1
1275,ATPAF2
1276,DPH6
1277,ATP5IF1
1278,ATRIP
1279,ATRNL1
1280,ATRN
1281,ATRX
1282,ATR
1283,ATXN10
1284,ATXN1L
1285,ATXN1
1286,ATXN2L
1287,ATXN2
1288,ATXN3L
1289,ATXN3
1290,ATXN7L1
1291,ATXN7L2
1292,ATXN7L3B
1293,ATXN7L3
1294,ATXN7
1295,ATXN8OS
1296,AUH
1297,AUP1
